Experiment,Class,MLP Precision,MLP Recall,MLP F1,CNN Precision,CNN Recall,CNN F1
Same parameters ~ 820K,airplane,0.6059225512528473,0.532,0.5665601703940362,0.8506559031281534,0.843,0.8468106479156203
Same parameters ~ 820K,automobile,0.552833078101072,0.722,0.6261925411968777,0.9494079655543596,0.882,0.9144634525660964
Same parameters ~ 820K,bird,0.4374057315233786,0.29,0.34876728803367407,0.7607879924953096,0.811,0.7850919651500484
Same parameters ~ 820K,cat,0.31096681096681095,0.431,0.36127409891031015,0.6850241545893719,0.709,0.6968058968058968
Same parameters ~ 820K,deer,0.426264800861141,0.396,0.4105754276827372,0.8033106134371957,0.825,0.8140108534780464
Same parameters ~ 820K,dog,0.442572741194487,0.289,0.34966727162734423,0.8216340621403913,0.714,0.7640449438202247
Same parameters ~ 820K,frog,0.549748743718593,0.547,0.5483709273182957,0.855787476280835,0.902,0.878286270691334
Same parameters ~ 820K,horse,0.49494163424124515,0.636,0.5566739606126915,0.8843813387423936,0.872,0.878147029204431
Same parameters ~ 820K,ship,0.6666666666666666,0.576,0.6180257510729614,0.8904109589041096,0.91,0.9000989119683481
Same parameters ~ 820K,truck,0.5148895292987512,0.536,0.5252327290543851,0.8756121449559255,0.894,0.8847105393369619
