Experiment,Class,MLP Precision,MLP Recall,MLP F1,CNN Precision,CNN Recall,CNN F1
Same parameters ~ 820K - dropout = 0.3,airplane,0.5630165289256198,0.545,0.5538617886178862,0.833822091886608,0.853,0.8433020266930301
Same parameters ~ 820K - dropout = 0.3,automobile,0.5982986767485823,0.633,0.6151603498542274,0.869167429094236,0.95,0.9077878643096035
Same parameters ~ 820K - dropout = 0.3,bird,0.43543956043956045,0.317,0.36689814814814814,0.825287356321839,0.718,0.7679144385026738
Same parameters ~ 820K - dropout = 0.3,cat,0.37037037037037035,0.27,0.31231925968768076,0.6827111984282908,0.695,0.688800792864222
Same parameters ~ 820K - dropout = 0.3,deer,0.4142581888246628,0.43,0.42198233562315995,0.8299595141700404,0.82,0.8249496981891348
Same parameters ~ 820K - dropout = 0.3,dog,0.4519104084321476,0.343,0.3899943149516771,0.7206959706959707,0.787,0.7523900573613767
Same parameters ~ 820K - dropout = 0.3,frog,0.4370629370629371,0.625,0.51440329218107,0.941108545034642,0.815,0.8735262593783494
Same parameters ~ 820K - dropout = 0.3,horse,0.5306306306306307,0.589,0.5582938388625592,0.8439306358381503,0.876,0.8596663395485771
Same parameters ~ 820K - dropout = 0.3,ship,0.5951957295373665,0.669,0.6299435028248588,0.8698501872659176,0.929,0.8984526112185687
Same parameters ~ 820K - dropout = 0.3,truck,0.5123106060606061,0.541,0.5262645914396887,0.9067796610169492,0.856,0.8806584362139918
