Experiment,Class,MLP Precision,MLP Recall,MLP F1,CNN Precision,CNN Recall,CNN F1
Augmentation,airplane,0.536322869955157,0.598,0.56548463356974,0.83399209486166,0.844,0.8389662027833003
Augmentation,automobile,0.6298283261802575,0.587,0.6076604554865425,0.9540481400437637,0.872,0.9111807732497388
Augmentation,bird,0.4002079002079002,0.385,0.3924566768603466,0.780195865070729,0.717,0.7472642001042209
Augmentation,cat,0.3926991150442478,0.355,0.37289915966386555,0.690677966101695,0.652,0.6707818930041153
Augmentation,deer,0.4215686274509804,0.473,0.4458058435438266,0.7530647985989493,0.86,0.8029878618113913
Augmentation,dog,0.4890885750962773,0.381,0.42833052276559863,0.7862857142857143,0.688,0.7338666666666667
Augmentation,frog,0.5058087578194816,0.566,0.5342142520056631,0.8788187372708758,0.863,0.8708375378405651
Augmentation,horse,0.6075550891920252,0.579,0.5929339477726574,0.852882703777336,0.858,0.8554336989032901
Augmentation,ship,0.6191832858499525,0.652,0.6351680467608378,0.8191304347826087,0.942,0.8762790697674419
Augmentation,truck,0.5400565504241281,0.573,0.5560407569141194,0.8541666666666666,0.902,0.877431906614786
